,reviews,label,clean_reviews
0,"kemeja nya bagusss bgtttt😍😍😍aaaa mauuu nngisssss😩😩😩knpa ga dri dlu beli kemeja ditoko ini😜, ini kemejanya asli emg bagus, bahannya jga adem ga gerah,and ga nerawang jga... itu krna camera nya jelek jdi ga trlalu jelas kemejanya.. asliny baguss bgttt ga bhong sumpah",1.0,kemeja nya bagusss bgttttaaaa mauuu nngisssssknpa tidak dari dulu beli kemeja di toko ini ini kemeja asli emang bagus bahan juga adem tidak gerahand tidak nerawang juga itu karena camera nya jelek jadi tidak terlalu jelas kemeja asliny baguss bgttt tidak bhong sumpah
1,"Jahitannya sih rapi,cuman ada benang yang ikut ke jahit juga jadi agak jelek",0.0,jahit sih rapicuman ada benang yang ikut ke jahit juga jadi agak jelek
2,Sesuai harga. Agak tipis tapi masih oke kok. Warnanya abu tapi kalo difoto emang kayak biru dikit. Thanks sellerr,0.0,sesuai harga agak tipis tapi masih oke kok warna abu tapi kalau foto emang seperti biru sedikit terimakasih sellerr
3,"Wah gila sihhh sebagus itu, se worth it, se  lembut itu bajunya,,,, kirain bakal terlalu tipis ky kemeja ku yg lama ternyata sedikit ky kaos bajunya baklgus bettt dah dgn harga segitu sih worth it thankyou yh,, next bakal order lgi",1.0,wah gila sihhh bagus itu se worth it se lembut itu baju kirain bakal terlalu tipis seperti kemeja ku yang lama nyata sedikit seperti kaos baju baklgus bettt sudah dengan harga segitu sih worth it thankyou yh next bakal order lagi
4,"Kain nya bagus halus  
Tapi kok di bukak kotor ya warna putih lagi",0.0,kain nya bagus halus tapi kok di bukak kotor ya warna putih lagi
5,"baguss dehh dengan harga segitu kainnya juga ga tipis"" banget dan ga tebel"" banget, kalo putih emang harus pake daleman biar ga nerawang bagussss pengiriman juga ga lama",1.0,baguss dehh dengan harga segitu kain juga tidak tipis banget dan tidak tebal banget kalau putih emang harus pakai dalem biar tidak nerawang bagussss kirim juga tidak lama
6,Harga mahal bahan tipis banget. Pengiriman lama. Tapi warna realpict. Maaf fotonya gak sesuai karena udah di cuci 🙏🙏,0.0,harga mahal bahan tipis banget kirim lama tapi warna realpict maaf foto tidak sesuai karena sudah di cuci
7,"puas bangett, awalnya takut jelek soalnya buat foto yearbook ternyata pas dateng bagusss!!",1.0,puas bangett awal takut jelek soal buat foto buku tahun nyata pas datang bagusss
8,Agak kecewa sihh karna pesan warna FUSCHIA malah datengnya pink ... mohon di teliti lagi dong kak 😕,0.0,agak kecewa sihh karena pesan warna fuschia malah datengnya pink mohon di teliti lagi dong kak
9,Maaf tak kasi bintang 3 karena tdk sesuai gambar.. Digambar menutupi bokong ternyata pas nyampe pendek banget padahal saya gak tinggi tinggi banget 158 cm... Pas pertama buka kancing lgsg lepas,0.0,maaf tidak kasih bintang karena tidak sesuai gambar gambar tutup bokong nyata pas sampai pendek banget padahal saya tidak tinggi tinggi banget cuma pas pertama buka kancing langsung lepas
10,"Baguss bgttt walau agak lama tapi setimpal dg barangnya, besok beli lagi deh xixi",1.0,baguss bgttt walau agak lama tapi timpal dengan barang besok beli lagi deh xixi
11,terimakasih bajunya udah sampai belum di coba juga cuma pengiriman nya aja yg lama,0.0,terimakasih baju sudah sampai belum di coba juga cuma kirim nya saja yang lama
12,"Realpict, bahan aga panas sesuai dengan harga. Pengemasan rapi, pengiriman agak lama padahal cuma beda kota, mungkin nunggu ready",0.0,realpict bahan aga panas sesuai dengan harga emas rapi kirim agak lama padahal cuma beda kota mungkin nunggu ready
13,Bahannya bagus siiiii tapi kependekannnnnn agak kecewa soalnya emang lagi butuhhhh............,0.0,bahan bagus siiiii tapi kependekannnnnn agak kecewa soal emang lagi butuhhhh
14,Lambat bngt anjir gak dateng2,0.0,lambat bngt anjir tidak datang
15,"Bahan ny tipis,untung ny milih wrn gelap,pas d badan.",0.0,bahan ny tipisuntung ny milih warna gelappas d badan
16,Barang tak sesuai ekspektasi. Bahan berbeda dengan yg diinginkan dan contoh. Kurirnya juga gila. Ga nganter ke rumah. Disuruh ambil sendiri. Padahal milihnya sampe rumah bkn ambil sendiri,0.0,barang tidak sesuai ekspektasi bahan beda dengan yang ingin dan contoh kurir juga gila tidak antar ke rumah suruh ambil sendiri padahal milihnya sampai rumah bukan ambil sendiri
17,"Nyesel cuma belik 1, harga segitu kainnya bagus banget, gak bikin gerah.. aslikk..nyeselll... Next de beli lagi 💙",1.0,sesal cuma belik harga segitu kain bagus banget tidak bikin gerah aslikknyeselll next de beli lagi
18,"Ga tau mau bilang apa
Asli deh ini bagus banget guys harga e cuma 30rb aja padahal tapi kwalitas bagus polll💘💘💘
Bahanya jatuh gitu kek kemeja mahal padahal murah banget tapi kwalitas oke⭐⭐⭐⭐⭐⭐⭐⭐⭐⭐⭐
Makasih seller
Fiks si ini bakal jadi langganan 😻
Nyesel cuma beli 2
Nextime mau beli warnah hitam",1.0,tidak tau mau bilang apa asli deh ini bagus banget guys harga e cuma rb saja padahal tapi kwalitas bagus polll bahanya jatuh begitu seperti kemeja mahal padahal murah banget tapi kwalitas oke terimakasih jual fiks si ini bakal jadi langgan sesal cuma beli nextime mau beli warnah hitam
19,sebagusss ini .. adem bahannya dengan hargaaa segituu . jgn ragu ragu beli di toko ini buruan cek out ..... thanks seller ..... love love,1.0,sebagusss ini adem bahan dengan hargaaa segituu jangan ragu ragu beli di toko ini buru cek out terimakasih jual love love
20,"Trauma beli disinii bahan katanya katun pas asliinya  kaya bahan yg bau bau gt dibadan ,bahanya kresek2",0.0,trauma beli sini bahan kata katun pas asli kaya bahan yang bau bau begitu bad bahanya kresek
21,"Uda nyampe lama si baru saya kasih penilaian.. kemeja harga segitu harusnya di murahin dikit si soalnya bahannya tipis, panas, dan menerawang karna warna putih.. tapi yasudahlah musti di dobel pake manset biar gk nerawang bgt..",0.0,sudah sampai lama si baru saya kasih nilai kemeja harga segitu harus di murahin sedikit si soal bahan tipis panas dan terawang karena warna putih tapi yasudahlah musti di dobel pakai manset biar tidak nerawang banget
22,"Bahan nya lembut, engga terlalu nerawang karna beli nya yg warna gelap ya. Tapi baguss lah di harga segitu",1.0,bahan nya lembut tidak terlalu nerawang karena beli nya yang warna gelap ya tapi baguss lah di harga segitu
23,Pengiriman sangat lama gak ada respon juga dari penjualnya bahannya juga tipis banget tapi ya lumayanlah,0.0,kirim sangat lama tidak ada respon juga dari jual bahan juga tipis banget tapi ya lumayan
